FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MQGH2ZM/A,Connectivity Accessories,150.0,32.0,12.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MR8U2ZM/A,Connectivity Accessories,244.0,24.0,7.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MU7E2ZM/A,Connectivity Accessories,193.0,44.0,25.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MU8F2ZM/A,iPad Accessories,1356.0,410.0,111.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MUF82ZM/A,Connectivity Accessories,149.0,15.0,7.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MUFG2ZM/A,Connectivity Accessories,58.0,5.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MV7N2ZM/A,AirPods Non Pro,4766.0,816.0,279.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MWP02ZM/A,Connectivity Accessories,26.0,7.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MWVG2ZM/A,iPhone Accessories,67.0,9.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MWVU2ZM/A,iPhone Accessories,144.0,25.0,8.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX0J2B/A,Connectivity Accessories,58.0,13.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX2E2ZM/A,Watch Accessories,164.0,37.0,22.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX3L2B/A,iPad Accessories,333.0,42.0,10.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQFW3B/A,Ultra 1,747.0,109.0,11.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX4U2ZM/A,iPad Accessories,111.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX542ZM/A,App-Enabled Accessories,361.0,94.0,30.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXGY2B/A,Apple TV,7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXH02B/A,Apple TV,7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXK22ZM/A,Connectivity Accessories,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXLY2ZM/A,Connectivity Accessories,472.0,140.0,77.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXNK2B/A,iPad Accessories,60.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXNL2B/A,iPad Accessories,51.0,4.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXQT2B/A,iPad Accessories,387.0,79.0,14.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXYH2ZM/A,iPhone Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MXYJ2ZM/A,iPhone Accessories,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MY1W2B/A,Connectivity Accessories,49.0,5.0,1.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MYD82B/A,MacBook Pro,25.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MYD92B/A,MacBook Pro,8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MX532ZM/A,App-Enabled Accessories,1270.0,268.0,124.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPP73ZM/A,iPhone Accessories,105.0,11.0,4.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQFQ3B/A,Ultra 1,1434.0,182.0,18.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MQE33ZM/A,Watch Accessories,278.0,2.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPPG3ZM/A,iPhone Accessories,225.0,11.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPPM3ZM/A,iPhone Accessories,269.0,28.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPPX3ZM/A,iPhone Accessories,243.0,13.0,4.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MPRW3ZM/A,iPhone Accessories,486.0,52.0,23.0,2023-04-01,2023-04-08
