Week_Start_Date,Product,Sessions,PDP Add to Cart Units,Units Sold,FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Quarter_Start_Date,Data_Type,Product Code
2023-07-10,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Apple TV,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Beats,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,Connectivity Accessories,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-17,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-24,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-31,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-07,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-14,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-21,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-08-28,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-04,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-11,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-18,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-09-25,HomePod,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-10,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-17,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-04-24,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-01,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-08,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-15,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-22,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-05-29,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-05,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-12,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-19,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-06-26,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-03,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
2023-07-10,Mac Accessories & Display,0.0,0.0,0.0,0,0,1970-01-01,0,0
